Date,Value
<script>document.documentElement.className = document.documentElement.className.replace(/no-js/g, 'js'),</script>
g.async=true,g.src=u+'/matomo.js'
<img alt=Ein Wald mit Birkenbäumen von unten fotografiert ©smallredgirl / Fotolia class=picture__img img-fluid data-cm-responsive-image=[{&quot,name&quot
<img alt=Digitaler Euro ©Europäische Zentralbank class=picture__img img-fluid data-cm-responsive-image=[{&quot,name&quot
<img alt=Bits und Bargeld ©Bert Bostelmann class=picture__img img-fluid data-cm-responsive-image=[{&quot,name&quot
Bits &amp,Bargeld
<span class=link__label sr-only>Bits &amp,Bargeld</span>
<img alt=Suche Icon class=picture__img img-fluid data-cm-responsive-image=[{&quot,name&quot
<img alt=Blaue Binärzahlen auf einem PC-Bildschirm ©ninog / fotolia class=picture__img img-fluid data-cm-responsive-image=[{&quot,name&quot
<img alt=Schriftliches Ausfüllen einer Überweisung ©Maria Lungwitz class=picture__img img-fluid data-cm-responsive-image=[{&quot,name&quot
<span class=navbar-main__label>FAQ &amp,Merkblätter</span>
<img alt=Journalisten bei einer Pressekonferenz ©Frank Rumpenhorst class=picture__img img-fluid data-cm-responsive-image=[{&quot,name&quot
<img alt=Das Buch „Geld und Geldpolitik“ ©Nils Thies class=picture__img img-fluid data-cm-responsive-image=[{&quot,name&quot
<span class=navbar-main__label>Vielfalt, Gleichstellung &amp,Inklusion</span>
imgError: &lt,a href=\&quot
ajaxError: &lt,a href=\&quot
