Date,Value
1970-Q1,36.70
1970-Q2,39.73
1970-Q3,41.57
1970-Q4,42.28
1971-Q1,38.87
1971-Q2,40.72
1971-Q3,42.69
1971-Q4,43.03
1972-Q1,40.70
1972-Q2,42.27
1972-Q3,44.08
1972-Q4,45.37
1973-Q1,43.60
1973-Q2,44.72
1973-Q3,45.77
1973-Q4,46.56
1974-Q1,44.40
1974-Q2,45.13
1974-Q3,46.37
1974-Q4,46.35
1975-Q1,43.18
1975-Q2,44.43
1975-Q3,45.66
1975-Q4,47.40
1976-Q1,45.49
1976-Q2,46.87
1976-Q3,47.59
1976-Q4,49.68
1977-Q1,47.43
1977-Q2,48.27
1977-Q3,49.00
1977-Q4,51.25
1978-Q1,48.59
1978-Q2,49.96
1978-Q3,50.56
1978-Q4,52.76
1979-Q1,50.48
1979-Q2,52.41
1979-Q3,52.69
1979-Q4,54.68
1980-Q1,52.93
1980-Q2,52.60
1980-Q3,53.16
1980-Q4,54.50
1981-Q1,52.56
1981-Q2,52.83
1981-Q3,53.70
1981-Q4,55.24
1982-Q1,52.81
1982-Q2,53.04
1982-Q3,52.93
1982-Q4,54.70
1983-Q1,52.87
1983-Q2,53.63
1983-Q3,53.88
1983-Q4,56.44
1984-Q1,55.08
1984-Q2,54.15
1984-Q3,55.61
1984-Q4,58.12
1985-Q1,55.34
1985-Q2,56.05
1985-Q3,57.37
1985-Q4,59.38
1986-Q1,56.07
1986-Q2,57.96
1986-Q3,58.52
1986-Q4,60.81
1987-Q1,56.90
1987-Q2,58.26
1987-Q3,59.39
1987-Q4,62.09
1988-Q1,59.56
1988-Q2,60.37
1988-Q3,61.53
1988-Q4,63.94
1989-Q1,62.34
1989-Q2,63.25
1989-Q3,63.43
1989-Q4,65.96
1990-Q1,65.72
1990-Q2,65.67
1990-Q3,67.11
1990-Q4,69.85
1991-Q1,69.06
1991-Q2,69.83
1991-Q3,70.63
1991-Q4,72.56
1992-Q1,71.16
1992-Q2,70.96
1992-Q3,72.13
1992-Q4,73.52
1993-Q1,69.48
1993-Q2,70.39
1993-Q3,71.79
1993-Q4,73.29
1994-Q1,71.16
1994-Q2,72.14
1994-Q3,73.54
1994-Q4,75.51
1995-Q1,72.76
1995-Q2,73.36
1995-Q3,74.51
1995-Q4,76.14
1996-Q1,72.79
1996-Q2,73.95
1996-Q3,75.70
1996-Q4,77.39
1997-Q1,73.24
1997-Q2,76.11
1997-Q3,77.24
1997-Q4,78.80
1998-Q1,76.32
1998-Q2,76.65
1998-Q3,78.69
1998-Q4,80.15
1999-Q1,77.31
1999-Q2,78.12
1999-Q3,80.58
1999-Q4,82.43
2000-Q1,80.54
2000-Q2,81.18
2000-Q3,82.53
2000-Q4,83.36
2001-Q1,82.38
2001-Q2,82.36
2001-Q3,83.69
2001-Q4,84.55
2002-Q1,80.88
2002-Q2,82.35
2002-Q3,84.34
2002-Q4,84.63
2003-Q1,80.64
2003-Q2,81.40
2003-Q3,83.84
2003-Q4,84.56
2004-Q1,82.02
2004-Q2,82.97
2004-Q3,84.04
2004-Q4,85.26
2005-Q1,81.63
2005-Q2,84.04
2005-Q3,85.19
2005-Q4,86.40
2006-Q1,85.15
2006-Q2,86.33
2006-Q3,88.20
2006-Q4,90.59
2007-Q1,88.58
2007-Q2,88.90
2007-Q3,90.59
2007-Q4,92.33
2008-Q1,90.20
2008-Q2,91.43
2008-Q3,91.42
2008-Q4,90.55
2009-Q1,84.18
2009-Q2,84.40
2009-Q3,86.54
2009-Q4,88.30
2010-Q1,86.40
2010-Q2,88.37
2010-Q3,90.56
2010-Q4,92.32
2011-Q1,91.71
2011-Q2,91.73
2011-Q3,93.45
2011-Q4,94.20
2012-Q1,93.20
2012-Q2,92.01
2012-Q3,93.48
2012-Q4,94.13
2013-Q1,91.65
2013-Q2,92.85
2013-Q3,94.64
2013-Q4,95.15
2014-Q1,94.59
2014-Q2,94.04
2014-Q3,96.28
2014-Q4,97.53
2015-Q1,95.76
2015-Q2,95.56
2015-Q3,97.86
2015-Q4,99.62
2016-Q1,97.81
2016-Q2,98.94
2016-Q3,99.64
2016-Q4,101.03
2017-Q1,101.35
2017-Q2,100.44
2017-Q3,102.44
2017-Q4,104.34
2018-Q1,102.81
2018-Q2,102.69
2018-Q3,102.90
2018-Q4,104.80
2019-Q1,104.02
2019-Q2,102.76
2019-Q3,104.97
2019-Q4,105.47
2020-Q1,102.41
2020-Q2,91.66
2020-Q3,101.62
2020-Q4,104.31
2021-Q1,101.69
2021-Q2,102.67
2021-Q3,104.48
2021-Q4,106.81
2022-Q1,105.77
2022-Q2,104.20
2022-Q3,106.17
2022-Q4,107.02
2023-Q1,105.74
2023-Q2,103.04
2023-Q3,104.77
2023-Q4,105.92
2024-Q1,104.57
2024-Q2,102.74
2024-Q3,104.58
2024-Q4,105.50
2025-Q1,104.58
2025-Q2,102.56
