Date,Value
1991-Q1,70.202
1991-Q2,75.296
1991-Q3,75.621
1991-Q4,78.295
1992-Q1,79.293
1992-Q2,81.794
1992-Q3,84.287
1992-Q4,85.667
1993-Q1,84.083
1993-Q2,86.206
1993-Q3,86.267
1993-Q4,86.619
1994-Q1,88.397
1994-Q2,88.744
1994-Q3,89.533
1994-Q4,91.226
1995-Q1,90.908
1995-Q2,92.616
1995-Q3,94.471
1995-Q4,95.095
1996-Q1,94.904
1996-Q2,95.443
1996-Q3,96.623
1996-Q4,96.533
1997-Q1,96.760
1997-Q2,96.798
1997-Q3,95.972
1997-Q4,95.064
1998-Q1,96.987
1998-Q2,97.544
1998-Q3,97.693
1998-Q4,97.482
1999-Q1,101.233
1999-Q2,101.664
1999-Q3,102.880
1999-Q4,101.818
2000-Q1,103.991
2000-Q2,102.990
2000-Q3,103.039
2000-Q4,103.945
2001-Q1,105.075
2001-Q2,104.650
2001-Q3,104.975
2001-Q4,107.952
2002-Q1,107.553
2002-Q2,107.734
2002-Q3,108.421
2002-Q4,110.659
2003-Q1,108.581
2003-Q2,108.442
2003-Q3,111.143
2003-Q4,110.402
2004-Q1,108.878
2004-Q2,109.086
2004-Q3,110.076
2004-Q4,108.786
2005-Q1,108.923
2005-Q2,110.319
2005-Q3,110.749
2005-Q4,110.335
2006-Q1,111.752
2006-Q2,111.519
2006-Q3,111.973
2006-Q4,112.507
2007-Q1,113.350
2007-Q2,113.847
2007-Q3,114.162
2007-Q4,115.593
2008-Q1,116.946
2008-Q2,119.256
2008-Q3,118.744
2008-Q4,120.271
2009-Q1,123.014
2009-Q2,124.346
2009-Q3,126.015
2009-Q4,125.415
2010-Q1,127.791
2010-Q2,126.892
2010-Q3,128.498
2010-Q4,128.840
2011-Q1,129.669
2011-Q2,130.781
2011-Q3,130.939
2011-Q4,132.032
2012-Q1,132.912
2012-Q2,134.449
2012-Q3,135.124
2012-Q4,136.385
2013-Q1,138.868
2013-Q2,139.364
2013-Q3,141.576
2013-Q4,142.167
2014-Q1,143.796
2014-Q2,145.148
2014-Q3,146.748
2014-Q4,147.831
2015-Q1,148.500
2015-Q2,150.468
2015-Q3,152.059
2015-Q4,154.916
2016-Q1,156.097
2016-Q2,157.957
2016-Q3,159.190
2016-Q4,160.647
2017-Q1,161.636
2017-Q2,163.486
2017-Q3,164.953
2017-Q4,167.915
2018-Q1,167.424
2018-Q2,169.636
2018-Q3,170.499
2018-Q4,172.966
2019-Q1,175.614
2019-Q2,177.581
2019-Q3,181.595
2019-Q4,182.716
2020-Q1,186.506
2020-Q2,190.870
2020-Q3,195.370
2020-Q4,196.299
2021-Q1,197.739
2021-Q2,204.579
2021-Q3,206.296
2021-Q4,208.607
2022-Q1,214.932
2022-Q2,216.675
2022-Q3,216.246
2022-Q4,220.357
2023-Q1,220.190
2023-Q2,223.752
2023-Q3,227.683
2023-Q4,233.578
2024-Q1,230.302
2024-Q2,236.920
2024-Q3,240.883
2024-Q4,243.677
2025-Q1,244.904
2025-Q2,248.899
