Date,Value
1991-Q1,96.416
1991-Q2,98.804
1991-Q3,99.733
1991-Q4,103.222
1992-Q1,107.585
1992-Q2,107.479
1992-Q3,105.338
1992-Q4,106.443
1993-Q1,104.981
1993-Q2,104.718
1993-Q3,105.673
1993-Q4,104.588
1994-Q1,107.960
1994-Q2,109.564
1994-Q3,110.286
1994-Q4,113.130
1995-Q1,110.553
1995-Q2,112.372
1995-Q3,112.142
1995-Q4,111.073
1996-Q1,105.081
1996-Q2,113.024
1996-Q3,112.563
1996-Q4,112.726
1997-Q1,109.498
1997-Q2,111.479
1997-Q3,111.527
1997-Q4,112.806
1998-Q1,115.458
1998-Q2,114.156
1998-Q3,114.794
1998-Q4,113.691
1999-Q1,116.784
1999-Q2,117.341
1999-Q3,119.049
1999-Q4,118.614
2000-Q1,121.120
2000-Q2,121.802
2000-Q3,122.800
2000-Q4,121.873
2001-Q1,121.913
2001-Q2,119.480
2001-Q3,117.525
2001-Q4,115.781
2002-Q1,113.075
2002-Q2,111.310
2002-Q3,110.090
2002-Q4,109.417
2003-Q1,108.595
2003-Q2,108.036
2003-Q3,108.208
2003-Q4,108.378
2004-Q1,106.247
2004-Q2,107.772
2004-Q3,107.579
2004-Q4,107.246
2005-Q1,105.591
2005-Q2,107.455
2005-Q3,109.106
2005-Q4,112.418
2006-Q1,110.855
2006-Q2,118.858
2006-Q3,119.738
2006-Q4,123.410
2007-Q1,125.444
2007-Q2,124.551
2007-Q3,125.168
2007-Q4,127.956
2008-Q1,130.328
2008-Q2,128.555
2008-Q3,129.202
2008-Q4,127.578
2009-Q1,117.117
2009-Q2,117.350
2009-Q3,117.446
2009-Q4,116.961
2010-Q1,118.220
2010-Q2,126.614
2010-Q3,127.836
2010-Q4,126.389
2011-Q1,134.320
2011-Q2,136.342
2011-Q3,138.556
2011-Q4,138.397
2012-Q1,139.510
2012-Q2,140.404
2012-Q3,140.537
2012-Q4,139.792
2013-Q1,135.053
2013-Q2,140.709
2013-Q3,142.108
2013-Q4,145.443
2014-Q1,148.431
2014-Q2,147.221
2014-Q3,147.568
2014-Q4,149.293
2015-Q1,149.720
2015-Q2,150.621
2015-Q3,151.956
2015-Q4,155.856
2016-Q1,158.782
2016-Q2,157.747
2016-Q3,160.051
2016-Q4,161.273
2017-Q1,163.114
2017-Q2,167.878
2017-Q3,169.953
2017-Q4,171.966
2018-Q1,174.042
2018-Q2,177.762
2018-Q3,181.375
2018-Q4,184.194
2019-Q1,185.802
2019-Q2,187.644
2019-Q3,188.828
2019-Q4,189.166
2020-Q1,185.975
2020-Q2,176.760
2020-Q3,182.269
2020-Q4,188.565
2021-Q1,186.674
2021-Q2,194.762
2021-Q3,194.575
2021-Q4,199.360
2022-Q1,206.571
2022-Q2,213.688
2022-Q3,218.436
2022-Q4,219.374
2023-Q1,222.755
2023-Q2,224.627
2023-Q3,224.835
2023-Q4,222.366
2024-Q1,222.732
2024-Q2,220.625
2024-Q3,220.818
2024-Q4,223.396
2025-Q1,225.825
2025-Q2,224.333
