Date,Value
1995-Q1,65.7
1995-Q2,69.5
1995-Q3,69.3
1995-Q4,71.4
1996-Q1,67.4
1996-Q2,70.9
1996-Q3,71.0
1996-Q4,72.6
1997-Q1,68.8
1997-Q2,72.3
1997-Q3,72.3
1997-Q4,74.7
1998-Q1,71.1
1998-Q2,74.9
1998-Q3,74.9
1998-Q4,77.2
1999-Q1,73.2
1999-Q2,77.3
1999-Q3,78.2
1999-Q4,80.7
2000-Q1,76.0
2000-Q2,79.7
2000-Q3,80.5
2000-Q4,83.0
2001-Q1,78.5
2001-Q2,81.0
2001-Q3,80.9
2001-Q4,83.1
2002-Q1,79.5
2002-Q2,82.6
2002-Q3,82.4
2002-Q4,83.7
2003-Q1,79.4
2003-Q2,83.1
2003-Q3,83.6
2003-Q4,85.8
2004-Q1,81.0
2004-Q2,85.4
2004-Q3,86.1
2004-Q4,88.0
2005-Q1,83.1
2005-Q2,87.9
2005-Q3,87.0
2005-Q4,90.5
2006-Q1,86.7
2006-Q2,89.8
2006-Q3,89.6
2006-Q4,93.7
2007-Q1,90.0
2007-Q2,93.7
2007-Q3,93.3
2007-Q4,96.4
2008-Q1,92.6
2008-Q2,96.4
2008-Q3,94.5
2008-Q4,95.2
2009-Q1,88.4
2009-Q2,91.0
2009-Q3,91.2
2009-Q4,94.6
2010-Q1,88.2
2010-Q2,92.4
2010-Q3,93.5
2010-Q4,97.6
2011-Q1,92.6
2011-Q2,95.4
2011-Q3,95.5
2011-Q4,99.1
2012-Q1,94.2
2012-Q2,95.8
2012-Q3,96.0
2012-Q4,99.1
2013-Q1,93.1
2013-Q2,95.4
2013-Q3,95.8
2013-Q4,99.8
2014-Q1,93.8
2014-Q2,96.2
2014-Q3,96.3
2014-Q4,100.8
2015-Q1,95.0
2015-Q2,97.2
2015-Q3,97.7
2015-Q4,102.2
2016-Q1,97.3
2016-Q2,99.6
2016-Q3,99.2
2016-Q4,104.2
2017-Q1,100.2
2017-Q2,101.4
2017-Q3,101.4
2017-Q4,106.5
2018-Q1,102.2
2018-Q2,104.0
2018-Q3,103.6
2018-Q4,109.8
2019-Q1,105.3
2019-Q2,105.9
2019-Q3,105.6
2019-Q4,110.1
2020-Q1,102.5
2020-Q2,91.5
2020-Q3,101.3
2020-Q4,104.7
2021-Q1,97.0
2021-Q2,104.1
2021-Q3,106.7
2021-Q4,111.5
2022-Q1,106.5
2022-Q2,111.0
2022-Q3,109.6
2022-Q4,114.3
2023-Q1,109.5
2023-Q2,109.1
2023-Q3,107.1
2023-Q4,111.3
2024-Q1,107.5
2024-Q2,107.7
2024-Q3,106.3
2024-Q4,111.3
2025-Q1,107.0
2025-Q2,107.6
