Date,Value
1995-Q1,66.8
1995-Q2,68.6
1995-Q3,66.8
1995-Q4,69.4
1996-Q1,67.7
1996-Q2,69.5
1996-Q3,67.7
1996-Q4,70.4
1997-Q1,69.9
1997-Q2,72.1
1997-Q3,70.5
1997-Q4,73.1
1998-Q1,72.2
1998-Q2,73.5
1998-Q3,71.5
1998-Q4,73.9
1999-Q1,73.5
1999-Q2,75.6
1999-Q3,74.4
1999-Q4,77.9
2000-Q1,76.9
2000-Q2,78.8
2000-Q3,76.8
2000-Q4,80.4
2001-Q1,78.5
2001-Q2,80.0
2001-Q3,77.4
2001-Q4,80.3
2002-Q1,78.8
2002-Q2,81.3
2002-Q3,79.0
2002-Q4,82.5
2003-Q1,80.0
2003-Q2,81.9
2003-Q3,79.6
2003-Q4,83.4
2004-Q1,82.3
2004-Q2,84.9
2004-Q3,82.8
2004-Q4,86.5
2005-Q1,84.7
2005-Q2,87.0
2005-Q3,84.3
2005-Q4,88.4
2006-Q1,86.8
2006-Q2,88.9
2006-Q3,86.5
2006-Q4,91.0
2007-Q1,90.1
2007-Q2,92.4
2007-Q3,89.8
2007-Q4,93.8
2008-Q1,91.8
2008-Q2,94.0
2008-Q3,90.1
2008-Q4,91.8
2009-Q1,86.6
2009-Q2,90.5
2009-Q3,87.0
2009-Q4,96.6
2010-Q1,89.0
2010-Q2,93.6
2010-Q3,89.2
2010-Q4,98.8
2011-Q1,91.2
2011-Q2,95.5
2011-Q3,90.8
2011-Q4,100.2
2012-Q1,91.7
2012-Q2,95.7
2012-Q3,91.0
2012-Q4,100.0
2013-Q1,91.2
2013-Q2,96.2
2013-Q3,91.4
2013-Q4,100.8
2014-Q1,93.1
2014-Q2,97.8
2014-Q3,93.0
2014-Q4,102.5
2015-Q1,94.7
2015-Q2,99.6
2015-Q3,94.1
2015-Q4,103.6
2016-Q1,95.8
2016-Q2,100.8
2016-Q3,95.2
2016-Q4,104.8
2017-Q1,97.5
2017-Q2,102.3
2017-Q3,96.2
2017-Q4,106.5
2018-Q1,99.0
2018-Q2,104.1
2018-Q3,98.2
2018-Q4,108.8
2019-Q1,101.2
2019-Q2,106.7
2019-Q3,101.0
2019-Q4,111.3
2020-Q1,100.7
2020-Q2,93.9
2020-Q3,98.2
2020-Q4,107.1
2021-Q1,101.1
2021-Q2,107.3
2021-Q3,102.6
2021-Q4,113.8
2022-Q1,106.2
2022-Q2,112.9
2022-Q3,106.6
2022-Q4,117.2
2023-Q1,109.1
2023-Q2,114.3
2023-Q3,107.1
2023-Q4,117.8
2024-Q1,109.9
2024-Q2,115.4
2024-Q3,108.4
2024-Q4,119.1
2025-Q1,111.1
2025-Q2,116.6
