Date,Value
1995-Q1,48.2
1995-Q2,52.9
1995-Q3,53.7
1995-Q4,52.2
1996-Q1,50.0
1996-Q2,52.8
1996-Q3,54.0
1996-Q4,53.1
1997-Q1,50.2
1997-Q2,53.9
1997-Q3,56.3
1997-Q4,55.0
1998-Q1,52.7
1998-Q2,57.6
1998-Q3,60.2
1998-Q4,58.1
1999-Q1,55.5
1999-Q2,60.4
1999-Q3,62.6
1999-Q4,61.5
2000-Q1,59.1
2000-Q2,65.9
2000-Q3,65.6
2000-Q4,63.7
2001-Q1,60.9
2001-Q2,67.2
2001-Q3,69.4
2001-Q4,67.0
2002-Q1,63.4
2002-Q2,69.8
2002-Q3,70.7
2002-Q4,70.3
2003-Q1,66.4
2003-Q2,70.0
2003-Q3,72.8
2003-Q4,72.2
2004-Q1,69.8
2004-Q2,73.7
2004-Q3,76.4
2004-Q4,75.7
2005-Q1,73.2
2005-Q2,77.4
2005-Q3,80.0
2005-Q4,79.4
2006-Q1,76.6
2006-Q2,81.6
2006-Q3,83.5
2006-Q4,82.9
2007-Q1,81.0
2007-Q2,85.2
2007-Q3,87.3
2007-Q4,87.6
2008-Q1,84.8
2008-Q2,89.5
2008-Q3,90.5
2008-Q4,88.7
2009-Q1,83.4
2009-Q2,87.0
2009-Q3,87.9
2009-Q4,88.1
2010-Q1,84.7
2010-Q2,89.0
2010-Q3,90.3
2010-Q4,90.4
2011-Q1,86.1
2011-Q2,90.6
2011-Q3,89.5
2011-Q4,89.5
2012-Q1,84.6
2012-Q2,87.3
2012-Q3,87.2
2012-Q4,84.4
2013-Q1,78.0
2013-Q2,80.6
2013-Q3,82.1
2013-Q4,80.2
2014-Q1,75.2
2014-Q2,80.0
2014-Q3,80.9
2014-Q4,79.1
2015-Q1,75.9
2015-Q2,82.8
2015-Q3,84.0
2015-Q4,83.2
2016-Q1,81.1
2016-Q2,88.1
2016-Q3,89.1
2016-Q4,89.1
2017-Q1,86.3
2017-Q2,93.4
2017-Q3,94.2
2017-Q4,93.5
2018-Q1,91.9
2018-Q2,99.2
2018-Q3,99.6
2018-Q4,99.7
2019-Q1,96.7
2019-Q2,104.2
2019-Q3,106.9
2019-Q4,105.6
2020-Q1,99.6
2020-Q2,92.9
2020-Q3,102.2
2020-Q4,105.3
2021-Q1,103.9
2021-Q2,109.5
2021-Q3,115.9
2021-Q4,116.3
2022-Q1,114.3
2022-Q2,118.5
2022-Q3,123.8
2022-Q4,121.1
2023-Q1,118.1
2023-Q2,121.5
2023-Q3,127.0
2023-Q4,124.3
2024-Q1,122.5
2024-Q2,126.0
2024-Q3,131.9
2024-Q4,127.5
2025-Q1,126.1
2025-Q2,130.5
