Date,Value
1995-Q1,36.2
1995-Q2,39.8
1995-Q3,38.9
1995-Q4,40.6
1996-Q1,36.5
1996-Q2,41.1
1996-Q3,41.8
1996-Q4,43.7
1997-Q1,40.5
1997-Q2,46.9
1997-Q3,47.1
1997-Q4,49.9
1998-Q1,45.3
1998-Q2,49.9
1998-Q3,48.5
1998-Q4,48.7
1999-Q1,44.2
1999-Q2,49.3
1999-Q3,47.5
1999-Q4,50.5
2000-Q1,48.2
2000-Q2,54.7
2000-Q3,52.3
2000-Q4,55.6
2001-Q1,51.6
2001-Q2,57.5
2001-Q3,55.6
2001-Q4,58.6
2002-Q1,53.5
2002-Q2,62.2
2002-Q3,60.4
2002-Q4,62.7
2003-Q1,58.8
2003-Q2,65.8
2003-Q3,64.5
2003-Q4,67.7
2004-Q1,64.9
2004-Q2,68.5
2004-Q3,68.9
2004-Q4,72.1
2005-Q1,67.8
2005-Q2,76.0
2005-Q3,76.3
2005-Q4,80.4
2006-Q1,75.0
2006-Q2,82.9
2006-Q3,83.8
2006-Q4,88.2
2007-Q1,82.1
2007-Q2,90.5
2007-Q3,89.4
2007-Q4,92.7
2008-Q1,78.4
2008-Q2,89.0
2008-Q3,87.5
2008-Q4,81.7
2009-Q1,68.9
2009-Q2,73.3
2009-Q3,70.4
2009-Q4,74.6
2010-Q1,67.7
2010-Q2,74.7
2010-Q3,74.3
2010-Q4,77.7
2011-Q1,73.9
2011-Q2,80.8
2011-Q3,81.1
2011-Q4,81.0
2012-Q1,76.2
2012-Q2,83.7
2012-Q3,83.8
2012-Q4,84.7
2013-Q1,79.4
2013-Q2,85.2
2013-Q3,84.6
2013-Q4,84.9
2014-Q1,79.9
2014-Q2,87.4
2014-Q3,87.1
2014-Q4,90.9
2015-Q1,80.6
2015-Q2,90.1
2015-Q3,89.5
2015-Q4,91.4
2016-Q1,85.5
2016-Q2,91.2
2016-Q3,91.2
2016-Q4,94.6
2017-Q1,89.1
2017-Q2,97.5
2017-Q3,95.0
2017-Q4,101.3
2018-Q1,92.2
2018-Q2,100.3
2018-Q3,99.2
2018-Q4,105.3
2019-Q1,96.2
2019-Q2,102.7
2019-Q3,104.1
2019-Q4,108.9
2020-Q1,95.3
2020-Q2,95.0
2020-Q3,102.2
2020-Q4,107.5
2021-Q1,101.0
2021-Q2,107.9
2021-Q3,109.2
2021-Q4,115.0
2022-Q1,103.2
2022-Q2,107.0
2022-Q3,108.1
2022-Q4,109.4
2023-Q1,98.7
2023-Q2,104.1
2023-Q3,104.6
2023-Q4,108.6
2024-Q1,98.4
2024-Q2,104.9
2024-Q3,104.3
2024-Q4,108.1
2025-Q1,97.7
2025-Q2,105.8
