Date,Value
1995-Q1,64.4
1995-Q2,68.6
1995-Q3,66.3
1995-Q4,71.2
1996-Q1,66.0
1996-Q2,70.0
1996-Q3,68.4
1996-Q4,73.2
1997-Q1,67.7
1997-Q2,72.3
1997-Q3,70.9
1997-Q4,76.6
1998-Q1,71.0
1998-Q2,75.5
1998-Q3,74.0
1998-Q4,79.4
1999-Q1,74.1
1999-Q2,78.8
1999-Q3,77.4
1999-Q4,82.7
2000-Q1,78.6
2000-Q2,83.1
2000-Q3,81.2
2000-Q4,86.5
2001-Q1,82.0
2001-Q2,86.3
2001-Q3,84.3
2001-Q4,89.7
2002-Q1,84.1
2002-Q2,89.0
2002-Q3,86.5
2002-Q4,92.2
2003-Q1,87.2
2003-Q2,91.2
2003-Q3,88.9
2003-Q4,94.7
2004-Q1,89.5
2004-Q2,94.2
2004-Q3,92.0
2004-Q4,97.7
2005-Q1,92.3
2005-Q2,97.8
2005-Q3,95.3
2005-Q4,101.3
2006-Q1,96.7
2006-Q2,101.4
2006-Q3,98.8
2006-Q4,105.3
2007-Q1,100.0
2007-Q2,105.0
2007-Q3,102.3
2007-Q4,109.1
2008-Q1,102.2
2008-Q2,107.0
2008-Q3,103.2
2008-Q4,107.2
2009-Q1,97.5
2009-Q2,102.1
2009-Q3,99.6
2009-Q4,104.7
2010-Q1,97.5
2010-Q2,102.3
2010-Q3,99.7
2010-Q4,104.7
2011-Q1,97.8
2011-Q2,101.9
2011-Q3,99.3
2011-Q4,102.7
2012-Q1,95.8
2012-Q2,98.7
2012-Q3,96.5
2012-Q4,99.2
2013-Q1,92.9
2013-Q2,97.4
2013-Q3,95.5
2013-Q4,98.7
2014-Q1,93.7
2014-Q2,98.3
2014-Q3,97.3
2014-Q4,101.1
2015-Q1,96.9
2015-Q2,102.4
2015-Q3,101.5
2015-Q4,105.4
2016-Q1,100.4
2016-Q2,105.7
2016-Q3,104.4
2016-Q4,107.5
2017-Q1,102.8
2017-Q2,109.0
2017-Q3,107.5
2017-Q4,110.9
2018-Q1,105.4
2018-Q2,111.8
2018-Q3,109.6
2018-Q4,113.7
2019-Q1,108.3
2019-Q2,113.8
2019-Q3,111.6
2019-Q4,115.4
2020-Q1,103.9
2020-Q2,89.2
2020-Q3,101.8
2020-Q4,105.3
2021-Q1,100.2
2021-Q2,106.4
2021-Q3,107.4
2021-Q4,112.7
2022-Q1,107.6
2022-Q2,114.2
2022-Q3,113.8
2022-Q4,117.5
2023-Q1,112.5
2023-Q2,116.7
2023-Q3,115.8
2023-Q4,120.2
2024-Q1,115.6
2024-Q2,120.7
2024-Q3,119.6
2024-Q4,124.1
2025-Q1,118.7
2025-Q2,123.9
