Date,Value
1980-Q1,52.9
1980-Q2,53.3
1980-Q3,50.2
1980-Q4,54.7
1981-Q1,52.7
1981-Q2,53.8
1981-Q3,51.0
1981-Q4,56.1
1982-Q1,54.2
1982-Q2,55.4
1982-Q3,52.2
1982-Q4,57.1
1983-Q1,55.2
1983-Q2,56.0
1983-Q3,52.8
1983-Q4,57.6
1984-Q1,56.2
1984-Q2,56.5
1984-Q3,54.0
1984-Q4,58.5
1985-Q1,56.7
1985-Q2,57.4
1985-Q3,55.1
1985-Q4,59.6
1986-Q1,57.7
1986-Q2,59.1
1986-Q3,56.4
1986-Q4,61.0
1987-Q1,58.9
1987-Q2,60.0
1987-Q3,57.9
1987-Q4,63.3
1988-Q1,62.0
1988-Q2,63.1
1988-Q3,60.9
1988-Q4,65.8
1989-Q1,64.7
1989-Q2,65.8
1989-Q3,63.4
1989-Q4,69.0
1990-Q1,66.9
1990-Q2,67.9
1990-Q3,65.5
1990-Q4,69.9
1991-Q1,67.8
1991-Q2,68.6
1991-Q3,66.5
1991-Q4,70.7
1992-Q1,69.3
1992-Q2,69.7
1992-Q3,67.4
1992-Q4,71.3
1993-Q1,68.8
1993-Q2,69.6
1993-Q3,67.3
1993-Q4,71.0
1994-Q1,69.8
1994-Q2,71.2
1994-Q3,69.0
1994-Q4,73.4
1995-Q1,72.4
1995-Q2,73.0
1995-Q3,70.2
1995-Q4,74.3
1996-Q1,73.3
1996-Q2,73.7
1996-Q3,71.6
1996-Q4,75.4
1997-Q1,73.8
1997-Q2,75.8
1997-Q3,73.6
1997-Q4,78.1
1998-Q1,77.1
1998-Q2,78.1
1998-Q3,76.2
1998-Q4,80.4
1999-Q1,78.9
1999-Q2,80.4
1999-Q3,79.0
1999-Q4,84.1
2000-Q1,82.8
2000-Q2,83.8
2000-Q3,81.9
2000-Q4,87.3
2001-Q1,85.3
2001-Q2,85.3
2001-Q3,83.3
2001-Q4,88.2
2002-Q1,85.6
2002-Q2,86.2
2002-Q3,84.8
2002-Q4,89.1
2003-Q1,86.8
2003-Q2,86.5
2003-Q3,85.5
2003-Q4,90.4
2004-Q1,88.9
2004-Q2,89.6
2004-Q3,87.8
2004-Q4,92.8
2005-Q1,90.3
2005-Q2,91.7
2005-Q3,89.6
2005-Q4,94.3
2006-Q1,92.6
2006-Q2,94.1
2006-Q3,91.8
2006-Q4,97.2
2007-Q1,95.1
2007-Q2,96.2
2007-Q3,94.5
2007-Q4,99.4
2008-Q1,96.5
2008-Q2,97.4
2008-Q3,94.8
2008-Q4,98.0
2009-Q1,92.6
2009-Q2,93.6
2009-Q3,92.4
2009-Q4,97.3
2010-Q1,93.7
2010-Q2,95.8
2010-Q3,94.6
2010-Q4,99.3
2011-Q1,97.1
2011-Q2,98.3
2011-Q3,96.5
2011-Q4,100.9
2012-Q1,98.2
2012-Q2,97.9
2012-Q3,96.4
2012-Q4,100.9
2013-Q1,97.5
2013-Q2,99.2
2013-Q3,97.7
2013-Q4,102.1
2014-Q1,98.7
2014-Q2,99.8
2014-Q3,98.9
2014-Q4,103.1
2015-Q1,99.9
2015-Q2,100.8
2015-Q3,99.5
2015-Q4,104.4
2016-Q1,100.9
2016-Q2,102.5
2016-Q3,99.7
2016-Q4,105.1
2017-Q1,102.8
2017-Q2,103.7
2017-Q3,102.1
2017-Q4,108.1
2018-Q1,104.5
2018-Q2,105.1
2018-Q3,103.9
2018-Q4,110.1
2019-Q1,106.6
2019-Q2,107.9
2019-Q3,106.6
2019-Q4,111.0
2020-Q1,101.4
2020-Q2,89.4
2020-Q3,102.0
2020-Q4,107.2
2021-Q1,103.0
2021-Q2,105.5
2021-Q3,106.6
2021-Q4,112.5
2022-Q1,108.0
2022-Q2,109.7
2022-Q3,108.2
2022-Q4,113.3
2023-Q1,109.8
2023-Q2,111.2
2023-Q3,109.4
2023-Q4,115.1
2024-Q1,111.5
2024-Q2,112.1
2024-Q3,111.4
2024-Q4,115.8
2025-Q1,111.8
2025-Q2,112.9
