Date,Value
1995-Q1,83.3
1995-Q2,85.5
1995-Q3,93.4
1995-Q4,95.9
1996-Q1,85.2
1996-Q2,86.5
1996-Q3,94.7
1996-Q4,96.7
1997-Q1,87.1
1997-Q2,89.7
1997-Q3,98.6
1997-Q4,100.7
1998-Q1,92.0
1998-Q2,93.5
1998-Q3,100.9
1998-Q4,102.7
1999-Q1,93.7
1999-Q2,95.7
1999-Q3,103.4
1999-Q4,106.5
2000-Q1,97.4
2000-Q2,99.7
2000-Q3,108.2
2000-Q4,110.6
2001-Q1,103.7
2001-Q2,104.5
2001-Q3,113.0
2001-Q4,114.1
2002-Q1,106.8
2002-Q2,111.6
2002-Q3,118.3
2002-Q4,118.9
2003-Q1,113.3
2003-Q2,118.1
2003-Q3,124.3
2003-Q4,126.3
2004-Q1,121.0
2004-Q2,124.2
2004-Q3,131.4
2004-Q4,131.4
2005-Q1,122.1
2005-Q2,126.1
2005-Q3,132.6
2005-Q4,133.3
2006-Q1,130.0
2006-Q2,134.9
2006-Q3,139.1
2006-Q4,143.2
2007-Q1,134.1
2007-Q2,143.0
2007-Q3,145.2
2007-Q4,144.0
2008-Q1,136.6
2008-Q2,141.2
2008-Q3,144.7
2008-Q4,144.2
2009-Q1,127.2
2009-Q2,136.3
2009-Q3,139.4
2009-Q4,140.4
2010-Q1,127.9
2010-Q2,128.9
2010-Q3,127.8
2010-Q4,127.8
2011-Q1,113.3
2011-Q2,117.7
2011-Q3,118.5
2011-Q4,112.3
2012-Q1,102.8
2012-Q2,106.0
2012-Q3,108.3
2012-Q4,106.2
2013-Q1,96.7
2013-Q2,102.5
2013-Q3,107.6
2013-Q4,107.0
2014-Q1,97.3
2014-Q2,103.4
2014-Q3,108.9
2014-Q4,107.3
2015-Q1,98.0
2015-Q2,104.0
2015-Q3,106.2
2015-Q4,107.8
2016-Q1,97.0
2016-Q2,103.4
2016-Q3,108.6
2016-Q4,106.8
2017-Q1,97.9
2017-Q2,105.1
2017-Q3,112.2
2017-Q4,106.8
2018-Q1,99.6
2018-Q2,107.1
2018-Q3,114.7
2018-Q4,109.4
2019-Q1,100.9
2019-Q2,110.2
2019-Q3,118.6
2019-Q4,110.9
2020-Q1,98.6
2020-Q2,92.0
2020-Q3,107.2
2020-Q4,102.2
2021-Q1,96.5
2021-Q2,105.7
2021-Q3,119.6
2021-Q4,112.9
2022-Q1,104.1
2022-Q2,113.0
2022-Q3,124.9
2022-Q4,117.6
2023-Q1,105.9
2023-Q2,116.9
2023-Q3,127.3
2023-Q4,120.2
2024-Q1,107.4
2024-Q2,119.7
2024-Q3,130.3
2024-Q4,123.5
2025-Q1,109.3
2025-Q2,121.8
