Date,Value
1995-Q1,58.3
1995-Q2,64.0
1995-Q3,67.1
1995-Q4,65.2
1996-Q1,62.5
1996-Q2,68.2
1996-Q3,71.7
1996-Q4,67.7
1997-Q1,63.3
1997-Q2,72.5
1997-Q3,80.2
1997-Q4,70.9
1998-Q1,65.2
1998-Q2,73.4
1998-Q3,82.3
1998-Q4,72.4
1999-Q1,65.4
1999-Q2,74.1
1999-Q3,81.0
1999-Q4,70.3
2000-Q1,68.3
2000-Q2,74.8
2000-Q3,83.9
2000-Q4,72.4
2001-Q1,69.7
2001-Q2,77.6
2001-Q3,86.8
2001-Q4,74.6
2002-Q1,73.1
2002-Q2,81.4
2002-Q3,92.2
2002-Q4,79.9
2003-Q1,77.7
2003-Q2,86.7
2003-Q3,96.6
2003-Q4,83.7
2004-Q1,81.4
2004-Q2,89.8
2004-Q3,100.0
2004-Q4,87.9
2005-Q1,82.5
2005-Q2,94.6
2005-Q3,105.3
2005-Q4,92.3
2006-Q1,87.9
2006-Q2,98.5
2006-Q3,110.1
2006-Q4,97.3
2007-Q1,93.5
2007-Q2,104.1
2007-Q3,114.9
2007-Q4,101.1
2008-Q1,96.5
2008-Q2,107.0
2008-Q3,116.8
2008-Q4,101.5
2009-Q1,88.2
2009-Q2,98.5
2009-Q3,108.6
2009-Q4,97.6
2010-Q1,86.5
2010-Q2,95.8
2010-Q3,109.7
2010-Q4,95.8
2011-Q1,84.5
2011-Q2,97.2
2011-Q3,110.2
2011-Q4,95.5
2012-Q1,83.3
2012-Q2,94.2
2012-Q3,108.2
2012-Q4,93.0
2013-Q1,82.2
2013-Q2,94.9
2013-Q3,108.2
2013-Q4,92.9
2014-Q1,81.4
2014-Q2,94.3
2014-Q3,107.5
2014-Q4,92.9
2015-Q1,82.9
2015-Q2,95.7
2015-Q3,111.9
2015-Q4,94.3
2016-Q1,86.6
2016-Q2,98.6
2016-Q3,114.3
2016-Q4,98.7
2017-Q1,88.6
2017-Q2,101.8
2017-Q3,119.3
2017-Q4,101.5
2018-Q1,90.3
2018-Q2,105.6
2018-Q3,123.0
2018-Q4,104.3
2019-Q1,94.6
2019-Q2,108.9
2019-Q3,126.5
2019-Q4,106.3
2020-Q1,93.3
2020-Q2,91.8
2020-Q3,112.6
2020-Q4,102.4
2021-Q1,96.8
2021-Q2,109.8
2021-Q3,130.5
2021-Q4,113.4
2022-Q1,104.5
2022-Q2,120.7
2022-Q3,140.7
2022-Q4,117.5
2023-Q1,106.8
2023-Q2,125.4
2023-Q3,143.5
2023-Q4,123.8
2024-Q1,111.2
2024-Q2,130.0
2024-Q3,149.2
2024-Q4,128.6
2025-Q1,114.4
2025-Q2,134.5
