Date,Value
1995-Q1,72.5
1995-Q2,73.1
1995-Q3,73.3
1995-Q4,73.5
1996-Q1,73.6
1996-Q2,74.2
1996-Q3,74.5
1996-Q4,74.9
1997-Q1,75.1
1997-Q2,76.0
1997-Q3,76.6
1997-Q4,77.5
1998-Q1,78.0
1998-Q2,78.3
1998-Q3,78.7
1998-Q4,79.0
1999-Q1,79.8
1999-Q2,80.1
1999-Q3,81.2
1999-Q4,82.0
2000-Q1,83.1
2000-Q2,83.8
2000-Q3,84.4
2000-Q4,84.8
2001-Q1,85.7
2001-Q2,85.8
2001-Q3,86.0
2001-Q4,85.9
2002-Q1,86.1
2002-Q2,86.5
2002-Q3,86.9
2002-Q4,87.1
2003-Q1,86.8
2003-Q2,86.9
2003-Q3,87.4
2003-Q4,88.0
2004-Q1,88.5
2004-Q2,89.0
2004-Q3,89.2
2004-Q4,89.6
2005-Q1,89.8
2005-Q2,90.4
2005-Q3,91.1
2005-Q4,91.7
2006-Q1,92.6
2006-Q2,93.6
2006-Q3,94.1
2006-Q4,95.2
2007-Q1,95.9
2007-Q2,96.5
2007-Q3,96.9
2007-Q4,97.4
2008-Q1,98.0
2008-Q2,97.5
2008-Q3,97.0
2008-Q4,95.3
2009-Q1,92.4
2009-Q2,92.4
2009-Q3,92.7
2009-Q4,93.1
2010-Q1,93.5
2010-Q2,94.4
2010-Q3,94.8
2010-Q4,95.4
2011-Q1,96.3
2011-Q2,96.3
2011-Q3,96.3
2011-Q4,96.0
2012-Q1,95.7
2012-Q2,95.4
2012-Q3,95.3
2012-Q4,94.9
2013-Q1,94.6
2013-Q2,95.2
2013-Q3,95.5
2013-Q4,95.7
2014-Q1,96.1
2014-Q2,96.3
2014-Q3,96.8
2014-Q4,97.2
2015-Q1,97.9
2015-Q2,98.3
2015-Q3,98.7
2015-Q4,99.2
2016-Q1,99.7
2016-Q2,99.9
2016-Q3,100.4
2016-Q4,101.1
2017-Q1,101.9
2017-Q2,102.6
2017-Q3,103.4
2017-Q4,104.2
2018-Q1,104.3
2018-Q2,104.8
2018-Q3,104.9
2018-Q4,105.5
2019-Q1,106.2
2019-Q2,106.6
2019-Q3,106.8
2019-Q4,106.7
2020-Q1,103.2
2020-Q2,91.8
2020-Q3,102.4
2020-Q4,102.7
2021-Q1,103.5
2021-Q2,105.7
2021-Q3,107.6
2021-Q4,108.5
2022-Q1,109.3
2022-Q2,110.3
2022-Q3,110.8
2022-Q4,110.8
2023-Q1,110.7
2023-Q2,110.9
2023-Q3,110.9
2023-Q4,110.9
2024-Q1,111.2
2024-Q2,111.5
2024-Q3,111.9
2024-Q4,112.4
2025-Q1,113.0
2025-Q2,113.1
