Date,Value
1995-Q1,24.5
1995-Q2,25.5
1995-Q3,25.8
1995-Q4,25.7
1996-Q1,26.5
1996-Q2,27.8
1996-Q3,27.3
1996-Q4,27.3
1997-Q1,28.6
1997-Q2,30.5
1997-Q3,30.7
1997-Q4,31.1
1998-Q1,31.7
1998-Q2,32.8
1998-Q3,34.0
1998-Q4,33.0
1999-Q1,34.7
1999-Q2,35.4
1999-Q3,37.3
1999-Q4,38.0
2000-Q1,38.0
2000-Q2,39.2
2000-Q3,40.6
2000-Q4,41.2
2001-Q1,40.9
2001-Q2,41.7
2001-Q3,41.8
2001-Q4,43.1
2002-Q1,43.1
2002-Q2,43.9
2002-Q3,44.4
2002-Q4,45.9
2003-Q1,44.0
2003-Q2,45.1
2003-Q3,44.8
2003-Q4,48.7
2004-Q1,47.4
2004-Q2,49.0
2004-Q3,48.0
2004-Q4,50.7
2005-Q1,50.2
2005-Q2,51.9
2005-Q3,50.7
2005-Q4,53.5
2006-Q1,53.4
2006-Q2,53.7
2006-Q3,54.3
2006-Q4,55.2
2007-Q1,57.6
2007-Q2,56.9
2007-Q3,55.5
2007-Q4,57.9
2008-Q1,56.1
2008-Q2,54.9
2008-Q3,54.9
2008-Q4,52.0
2009-Q1,52.1
2009-Q2,52.2
2009-Q3,51.9
2009-Q4,50.5
2010-Q1,51.9
2010-Q2,52.7
2010-Q3,53.3
2010-Q4,52.3
2011-Q1,53.0
2011-Q2,54.1
2011-Q3,53.7
2011-Q4,52.7
2012-Q1,52.0
2012-Q2,54.2
2012-Q3,53.4
2012-Q4,53.1
2013-Q1,51.6
2013-Q2,53.8
2013-Q3,56.5
2013-Q4,55.4
2014-Q1,56.9
2014-Q2,58.7
2014-Q3,61.1
2014-Q4,61.1
2015-Q1,73.1
2015-Q2,71.2
2015-Q3,75.6
2015-Q4,76.4
2016-Q1,71.5
2016-Q2,71.5
2016-Q3,74.2
2016-Q4,82.7
2017-Q1,77.3
2017-Q2,77.8
2017-Q3,85.7
2017-Q4,89.4
2018-Q1,85.6
2018-Q2,86.9
2018-Q3,91.1
2018-Q4,92.0
2019-Q1,88.9
2019-Q2,90.5
2019-Q3,96.6
2019-Q4,97.4
2020-Q1,96.6
2020-Q2,92.7
2020-Q3,107.9
2020-Q4,102.8
2021-Q1,110.4
2021-Q2,113.8
2021-Q3,122.8
2021-Q4,118.1
2022-Q1,118.6
2022-Q2,122.4
2022-Q3,131.7
2022-Q4,127.3
2023-Q1,121.5
2023-Q2,121.4
2023-Q3,125.5
2023-Q4,118.9
2024-Q1,118.2
2024-Q2,118.5
2024-Q3,130.5
2024-Q4,132.7
2025-Q1,141.8
2025-Q2,138.7
