Date,Value
1996-Q1,93.4
1996-Q2,97.4
1996-Q3,95.9
1996-Q4,100.1
1997-Q1,93.0
1997-Q2,99.4
1997-Q3,98.0
1997-Q4,104.0
1998-Q1,96.1
1998-Q2,101.4
1998-Q3,99.9
1998-Q4,104.0
1999-Q1,97.0
1999-Q2,102.2
1999-Q3,101.2
1999-Q4,107.8
2000-Q1,101.6
2000-Q2,106.6
2000-Q3,104.8
2000-Q4,111.0
2001-Q1,105.2
2001-Q2,109.5
2001-Q3,106.3
2001-Q4,111.6
2002-Q1,104.3
2002-Q2,109.3
2002-Q3,107.3
2002-Q4,112.9
2003-Q1,104.8
2003-Q2,109.2
2003-Q3,107.2
2003-Q4,112.8
2004-Q1,105.9
2004-Q2,111.3
2004-Q3,109.3
2004-Q4,114.0
2005-Q1,105.9
2005-Q2,112.2
2005-Q3,110.7
2005-Q4,114.9
2006-Q1,109.0
2006-Q2,113.8
2006-Q3,112.0
2006-Q4,117.0
2007-Q1,111.1
2007-Q2,116.1
2007-Q3,113.9
2007-Q4,117.3
2008-Q1,112.1
2008-Q2,115.7
2008-Q3,113.0
2008-Q4,112.9
2009-Q1,104.0
2009-Q2,107.7
2009-Q3,107.8
2009-Q4,110.2
2010-Q1,104.5
2010-Q2,109.7
2010-Q3,109.4
2010-Q4,112.6
2011-Q1,106.9
2011-Q2,111.3
2011-Q3,110.1
2011-Q4,110.8
2012-Q1,104.3
2012-Q2,107.4
2012-Q3,106.3
2012-Q4,107.4
2013-Q1,100.8
2013-Q2,104.9
2013-Q3,105.3
2013-Q4,106.8
2014-Q1,101.0
2014-Q2,104.9
2014-Q3,105.3
2014-Q4,106.5
2015-Q1,101.4
2015-Q2,105.7
2015-Q3,106.1
2015-Q4,108.2
2016-Q1,102.6
2016-Q2,107.0
2016-Q3,107.5
2016-Q4,109.6
2017-Q1,105.0
2017-Q2,108.7
2017-Q3,108.6
2017-Q4,111.2
2018-Q1,105.7
2018-Q2,109.8
2018-Q3,109.4
2018-Q4,112.2
2019-Q1,106.3
2019-Q2,110.5
2019-Q3,110.2
2019-Q4,111.9
2020-Q1,99.7
2020-Q2,90.6
2020-Q3,103.8
2020-Q4,106.0
2021-Q1,102.1
2021-Q2,108.0
2021-Q3,111.2
2021-Q4,114.4
2022-Q1,109.7
2022-Q2,114.9
2022-Q3,115.3
2022-Q4,116.9
2023-Q1,112.4
2023-Q2,115.0
2023-Q3,115.3
2023-Q4,117.3
2024-Q1,112.7
2024-Q2,115.9
2024-Q3,116.2
2024-Q4,118.5
2025-Q1,113.0
2025-Q2,116.2
