Date,Value
1995-Q1,32.0
1995-Q2,35.3
1995-Q3,40.1
1995-Q4,38.5
1996-Q1,33.6
1996-Q2,36.0
1996-Q3,43.3
1996-Q4,40.3
1997-Q1,35.1
1997-Q2,39.6
1997-Q3,46.9
1997-Q4,44.3
1998-Q1,38.9
1998-Q2,43.7
1998-Q3,49.6
1998-Q4,46.1
1999-Q1,40.0
1999-Q2,44.2
1999-Q3,47.5
1999-Q4,44.6
2000-Q1,41.7
2000-Q2,44.8
2000-Q3,48.8
2000-Q4,46.9
2001-Q1,44.5
2001-Q2,47.2
2001-Q3,51.8
2001-Q4,50.6
2002-Q1,46.6
2002-Q2,50.9
2002-Q3,55.9
2002-Q4,53.7
2003-Q1,51.6
2003-Q2,55.7
2003-Q3,61.6
2003-Q4,60.2
2004-Q1,55.3
2004-Q2,59.8
2004-Q3,64.6
2004-Q4,64.3
2005-Q1,58.3
2005-Q2,64.0
2005-Q3,70.4
2005-Q4,70.0
2006-Q1,62.7
2006-Q2,69.3
2006-Q3,75.2
2006-Q4,74.9
2007-Q1,68.9
2007-Q2,77.4
2007-Q3,84.5
2007-Q4,82.8
2008-Q1,73.8
2008-Q2,81.5
2008-Q3,85.8
2008-Q4,80.5
2009-Q1,63.5
2009-Q2,68.7
2009-Q3,73.5
2009-Q4,68.2
2010-Q1,62.1
2010-Q2,68.7
2010-Q3,73.4
2010-Q4,70.9
2011-Q1,66.0
2011-Q2,72.6
2011-Q3,78.8
2011-Q4,75.1
2012-Q1,68.8
2012-Q2,74.5
2012-Q3,83.3
2012-Q4,78.7
2013-Q1,71.5
2013-Q2,77.8
2013-Q3,86.3
2013-Q4,82.0
2014-Q1,75.0
2014-Q2,81.3
2014-Q3,89.1
2014-Q4,84.2
2015-Q1,76.7
2015-Q2,83.3
2015-Q3,91.8
2015-Q4,87.1
2016-Q1,78.6
2016-Q2,84.9
2016-Q3,93.9
2016-Q4,90.7
2017-Q1,82.6
2017-Q2,89.0
2017-Q3,97.8
2017-Q4,94.7
2018-Q1,86.6
2018-Q2,93.9
2018-Q3,102.1
2018-Q4,99.4
2019-Q1,90.9
2019-Q2,98.2
2019-Q3,106.8
2019-Q4,103.9
2020-Q1,93.7
2020-Q2,93.9
2020-Q3,108.4
2020-Q4,104.0
2021-Q1,96.6
2021-Q2,102.8
2021-Q3,115.1
2021-Q4,111.0
2022-Q1,102.1
2022-Q2,105.5
2022-Q3,117.4
2022-Q4,111.4
2023-Q1,100.2
2023-Q2,107.1
2023-Q3,118.7
2023-Q4,111.9
2024-Q1,103.1
2024-Q2,108.8
2024-Q3,121.6
2024-Q4,116.4
2025-Q1,106.6
2025-Q2,112.2
