Date,Value
1995-Q1,45.6
1995-Q2,47.2
1995-Q3,45.7
1995-Q4,46.0
1996-Q1,45.7
1996-Q2,47.7
1996-Q3,45.4
1996-Q4,48.2
1997-Q1,46.9
1997-Q2,50.1
1997-Q3,49.3
1997-Q4,51.0
1998-Q1,50.8
1998-Q2,53.2
1998-Q3,52.3
1998-Q4,54.1
1999-Q1,54.9
1999-Q2,57.3
1999-Q3,57.1
1999-Q4,58.2
2000-Q1,60.0
2000-Q2,60.8
2000-Q3,59.9
2000-Q4,62.6
2001-Q1,61.9
2001-Q2,62.5
2001-Q3,61.2
2001-Q4,65.3
2002-Q1,63.2
2002-Q2,66.4
2002-Q3,63.5
2002-Q4,65.8
2003-Q1,64.1
2003-Q2,67.2
2003-Q3,65.2
2003-Q4,69.2
2004-Q1,68.0
2004-Q2,70.3
2004-Q3,68.3
2004-Q4,70.4
2005-Q1,67.9
2005-Q2,70.5
2005-Q3,69.5
2005-Q4,76.0
2006-Q1,74.0
2006-Q2,76.3
2006-Q3,73.8
2006-Q4,76.8
2007-Q1,79.7
2007-Q2,83.1
2007-Q3,79.6
2007-Q4,82.8
2008-Q1,81.8
2008-Q2,83.8
2008-Q3,79.6
2008-Q4,79.1
2009-Q1,75.9
2009-Q2,78.9
2009-Q3,77.8
2009-Q4,81.2
2010-Q1,80.8
2010-Q2,82.8
2010-Q3,79.2
2010-Q4,82.8
2011-Q1,81.9
2011-Q2,82.6
2011-Q3,81.2
2011-Q4,83.3
2012-Q1,82.6
2012-Q2,83.5
2012-Q3,81.9
2012-Q4,86.4
2013-Q1,84.0
2013-Q2,87.1
2013-Q3,85.3
2013-Q4,88.6
2014-Q1,86.6
2014-Q2,86.9
2014-Q3,87.0
2014-Q4,93.6
2015-Q1,88.7
2015-Q2,91.0
2015-Q3,89.1
2015-Q4,93.2
2016-Q1,91.9
2016-Q2,95.0
2016-Q3,94.2
2016-Q4,99.0
2017-Q1,92.8
2017-Q2,96.0
2017-Q3,95.6
2017-Q4,100.6
2018-Q1,95.3
2018-Q2,97.5
2018-Q3,96.8
2018-Q4,101.6
2019-Q1,96.7
2019-Q2,100.8
2019-Q3,100.0
2019-Q4,104.6
2020-Q1,98.9
2020-Q2,94.5
2020-Q3,101.1
2020-Q4,105.6
2021-Q1,103.9
2021-Q2,106.4
2021-Q3,105.8
2021-Q4,111.6
2022-Q1,104.3
2022-Q2,106.0
2022-Q3,105.1
2022-Q4,107.6
2023-Q1,104.0
2023-Q2,106.7
2023-Q3,105.7
2023-Q4,107.0
2024-Q1,106.7
2024-Q2,107.7
2024-Q3,103.5
2024-Q4,107.0
2025-Q1,104.5
2025-Q2,107.3
