Date,Value
1995-Q1,37.8
1995-Q2,41.4
1995-Q3,40.4
1995-Q4,44.1
1996-Q1,37.2
1996-Q2,40.8
1996-Q3,41.8
1996-Q4,47.6
1997-Q1,39.9
1997-Q2,46.3
1997-Q3,46.6
1997-Q4,50.0
1998-Q1,44.6
1998-Q2,49.3
1998-Q3,50.8
1998-Q4,50.0
1999-Q1,45.2
1999-Q2,48.8
1999-Q3,50.5
1999-Q4,55.8
2000-Q1,47.7
2000-Q2,52.7
2000-Q3,53.8
2000-Q4,57.8
2001-Q1,49.3
2001-Q2,58.0
2001-Q3,55.7
2001-Q4,62.7
2002-Q1,51.7
2002-Q2,61.3
2002-Q3,61.0
2002-Q4,68.9
2003-Q1,56.6
2003-Q2,65.8
2003-Q3,67.0
2003-Q4,74.0
2004-Q1,62.0
2004-Q2,71.4
2004-Q3,72.2
2004-Q4,80.7
2005-Q1,66.7
2005-Q2,78.6
2005-Q3,82.1
2005-Q4,92.3
2006-Q1,74.9
2006-Q2,88.8
2006-Q3,92.4
2006-Q4,104.6
2007-Q1,86.1
2007-Q2,100.3
2007-Q3,102.8
2007-Q4,109.0
2008-Q1,89.1
2008-Q2,99.1
2008-Q3,96.4
2008-Q4,100.0
2009-Q1,76.9
2009-Q2,81.8
2009-Q3,79.3
2009-Q4,84.9
2010-Q1,69.4
2010-Q2,77.9
2010-Q3,79.3
2010-Q4,84.5
2011-Q1,69.2
2011-Q2,80.3
2011-Q3,83.5
2011-Q4,87.6
2012-Q1,76.7
2012-Q2,85.9
2012-Q3,88.8
2012-Q4,92.7
2013-Q1,77.2
2013-Q2,87.6
2013-Q3,91.4
2013-Q4,94.9
2014-Q1,79.3
2014-Q2,89.6
2014-Q3,93.4
2014-Q4,96.3
2015-Q1,81.4
2015-Q2,93.2
2015-Q3,97.6
2015-Q4,99.9
2016-Q1,84.5
2016-Q2,96.0
2016-Q3,98.7
2016-Q4,102.5
2017-Q1,87.1
2017-Q2,98.9
2017-Q3,102.6
2017-Q4,106.0
2018-Q1,88.8
2018-Q2,103.9
2018-Q3,107.3
2018-Q4,111.6
2019-Q1,90.5
2019-Q2,104.5
2019-Q3,108.9
2019-Q4,110.4
2020-Q1,89.6
2020-Q2,94.9
2020-Q3,106.0
2020-Q4,109.6
2021-Q1,90.9
2021-Q2,106.9
2021-Q3,113.7
2021-Q4,116.4
2022-Q1,99.2
2022-Q2,109.6
2022-Q3,112.4
2022-Q4,114.3
2023-Q1,105.9
2023-Q2,110.1
2023-Q3,117.3
2023-Q4,114.7
2024-Q1,105.5
2024-Q2,110.1
2024-Q3,116.1
2024-Q4,114.3
2025-Q1,105.1
2025-Q2,112.0
