Date,Value
2000-Q1,42.4
2000-Q2,47.4
2000-Q3,49.2
2000-Q4,47.7
2001-Q1,43.5
2001-Q2,45.9
2001-Q3,49.7
2001-Q4,46.1
2002-Q1,44.7
2002-Q2,47.6
2002-Q3,50.9
2002-Q4,47.2
2003-Q1,45.7
2003-Q2,49.2
2003-Q3,52.9
2003-Q4,49.5
2004-Q1,46.9
2004-Q2,47.9
2004-Q3,52.8
2004-Q4,50.5
2005-Q1,46.6
2005-Q2,51.0
2005-Q3,55.0
2005-Q4,51.3
2006-Q1,48.3
2006-Q2,52.2
2006-Q3,56.1
2006-Q4,52.1
2007-Q1,51.9
2007-Q2,54.6
2007-Q3,58.8
2007-Q4,53.8
2008-Q1,54.2
2008-Q2,56.6
2008-Q3,60.7
2008-Q4,57.2
2009-Q1,53.2
2009-Q2,55.4
2009-Q3,59.7
2009-Q4,57.3
2010-Q1,57.3
2010-Q2,58.3
2010-Q3,63.6
2010-Q4,60.3
2011-Q1,58.2
2011-Q2,59.2
2011-Q3,63.9
2011-Q4,60.7
2012-Q1,59.8
2012-Q2,62.1
2012-Q3,66.9
2012-Q4,63.1
2013-Q1,62.9
2013-Q2,66.4
2013-Q3,71.4
2013-Q4,67.1
2014-Q1,67.9
2014-Q2,70.8
2014-Q3,75.8
2014-Q4,73.6
2015-Q1,74.7
2015-Q2,78.1
2015-Q3,83.0
2015-Q4,80.0
2016-Q1,78.6
2016-Q2,80.8
2016-Q3,86.3
2016-Q4,83.0
2017-Q1,88.9
2017-Q2,91.4
2017-Q3,97.4
2017-Q4,93.8
2018-Q1,93.4
2018-Q2,98.2
2018-Q3,105.5
2018-Q4,100.9
2019-Q1,99.1
2019-Q2,102.9
2019-Q3,108.1
2019-Q4,104.2
2020-Q1,105.6
2020-Q2,93.3
2020-Q3,100.8
2020-Q4,100.2
2021-Q1,107.3
2021-Q2,110.0
2021-Q3,119.7
2021-Q4,116.7
2022-Q1,110.7
2022-Q2,114.4
2022-Q3,120.3
2022-Q4,119.5
2023-Q1,121.6
2023-Q2,126.9
2023-Q3,134.2
2023-Q4,131.5
2024-Q1,131.6
2024-Q2,137.4
2024-Q3,141.7
2024-Q4,138.6
2025-Q1,136.4
2025-Q2,141.0
