Date,Value
1996-Q1,65.0
1996-Q2,66.4
1996-Q3,64.5
1996-Q4,68.2
1997-Q1,67.5
1997-Q2,69.1
1997-Q3,67.3
1997-Q4,71.4
1998-Q1,71.4
1998-Q2,72.3
1998-Q3,70.1
1998-Q4,74.4
1999-Q1,74.5
1999-Q2,75.7
1999-Q3,73.6
1999-Q4,78.9
2000-Q1,78.4
2000-Q2,79.4
2000-Q3,76.3
2000-Q4,81.3
2001-Q1,80.6
2001-Q2,81.7
2001-Q3,78.0
2001-Q4,82.5
2002-Q1,80.7
2002-Q2,82.0
2002-Q3,78.5
2002-Q4,82.4
2003-Q1,81.2
2003-Q2,81.7
2003-Q3,78.3
2003-Q4,82.7
2004-Q1,82.3
2004-Q2,83.4
2004-Q3,80.1
2004-Q4,84.7
2005-Q1,83.0
2005-Q2,85.2
2005-Q3,82.2
2005-Q4,86.7
2006-Q1,86.2
2006-Q2,88.4
2006-Q3,84.9
2006-Q4,89.6
2007-Q1,89.2
2007-Q2,91.3
2007-Q3,88.6
2007-Q4,93.5
2008-Q1,92.2
2008-Q2,94.3
2008-Q3,90.7
2008-Q4,93.1
2009-Q1,88.7
2009-Q2,90.0
2009-Q3,87.2
2009-Q4,90.9
2010-Q1,88.6
2010-Q2,91.7
2010-Q3,88.6
2010-Q4,92.5
2011-Q1,91.2
2011-Q2,93.8
2011-Q3,90.0
2011-Q4,92.8
2012-Q1,90.2
2012-Q2,93.3
2012-Q3,89.0
2012-Q4,91.7
2013-Q1,88.8
2013-Q2,92.9
2013-Q3,89.4
2013-Q4,93.1
2014-Q1,90.0
2014-Q2,94.5
2014-Q3,90.6
2014-Q4,94.9
2015-Q1,91.9
2015-Q2,96.5
2015-Q3,93.0
2015-Q4,96.5
2016-Q1,94.1
2016-Q2,99.0
2016-Q3,95.2
2016-Q4,98.7
2017-Q1,97.0
2017-Q2,101.9
2017-Q3,97.8
2017-Q4,101.1
2018-Q1,99.4
2018-Q2,104.6
2018-Q3,99.8
2018-Q4,103.0
2019-Q1,101.6
2019-Q2,107.0
2019-Q3,102.2
2019-Q4,105.4
2020-Q1,101.3
2020-Q2,97.6
2020-Q3,98.8
2020-Q4,102.3
2021-Q1,100.2
2021-Q2,109.1
2021-Q3,105.7
2021-Q4,110.1
2022-Q1,107.2
2022-Q2,115.1
2022-Q3,109.7
2022-Q4,114.4
2023-Q1,108.4
2023-Q2,114.1
2023-Q3,108.1
2023-Q4,113.2
2024-Q1,108.1
2024-Q2,115.1
2024-Q3,109.9
2024-Q4,115.4
2025-Q1,110.5
2025-Q2,117.0
