Date,Value
1995-Q1,76.2
1995-Q2,77.9
1995-Q3,78.3
1995-Q4,79.0
1996-Q1,78.3
1996-Q2,80.2
1996-Q3,81.3
1996-Q4,82.4
1997-Q1,81.9
1997-Q2,84.0
1997-Q3,84.8
1997-Q4,85.9
1998-Q1,85.9
1998-Q2,88.1
1998-Q3,88.8
1998-Q4,89.8
1999-Q1,89.8
1999-Q2,91.3
1999-Q3,91.9
1999-Q4,93.4
2000-Q1,93.5
2000-Q2,94.4
2000-Q3,95.5
2000-Q4,97.0
2001-Q1,94.8
2001-Q2,97.1
2001-Q3,96.9
2001-Q4,98.9
2002-Q1,97.0
2002-Q2,98.4
2002-Q3,97.8
2002-Q4,97.5
2003-Q1,95.2
2003-Q2,95.7
2003-Q3,97.5
2003-Q4,98.8
2004-Q1,97.2
2004-Q2,98.6
2004-Q3,99.3
2004-Q4,99.1
2005-Q1,98.1
2005-Q2,99.7
2005-Q3,99.3
2005-Q4,100.0
2006-Q1,98.8
2006-Q2,101.6
2006-Q3,100.6
2006-Q4,102.6
2007-Q1,101.1
2007-Q2,103.3
2007-Q3,104.0
2007-Q4,105.3
2008-Q1,102.9
2008-Q2,104.2
2008-Q3,104.6
2008-Q4,103.2
2009-Q1,98.5
2009-Q2,100.2
2009-Q3,101.8
2009-Q4,101.6
2010-Q1,99.9
2010-Q2,102.6
2010-Q3,103.7
2010-Q4,102.8
2011-Q1,99.8
2011-Q2,101.4
2011-Q3,101.6
2011-Q4,99.2
2012-Q1,96.4
2012-Q2,97.0
2012-Q3,97.2
2012-Q4,95.2
2013-Q1,92.9
2013-Q2,95.8
2013-Q3,96.7
2013-Q4,96.6
2014-Q1,93.7
2014-Q2,96.6
2014-Q3,97.6
2014-Q4,97.0
2015-Q1,95.0
2015-Q2,98.2
2015-Q3,99.3
2015-Q4,98.4
2016-Q1,96.6
2016-Q2,99.8
2016-Q3,101.3
2016-Q4,101.1
2017-Q1,99.8
2017-Q2,103.2
2017-Q3,104.7
2017-Q4,104.3
2018-Q1,102.6
2018-Q2,106.4
2018-Q3,107.7
2018-Q4,107.4
2019-Q1,106.0
2019-Q2,109.3
2019-Q3,110.5
2019-Q4,110.0
2020-Q1,103.8
2020-Q2,90.1
2020-Q3,103.3
2020-Q4,102.8
2021-Q1,98.0
2021-Q2,104.3
2021-Q3,108.9
2021-Q4,111.1
2022-Q1,108.9
2022-Q2,113.0
2022-Q3,115.0
2022-Q4,114.9
2023-Q1,112.1
2023-Q2,116.0
2023-Q3,117.4
2023-Q4,118.2
2024-Q1,113.6
2024-Q2,117.9
2024-Q3,119.5
2024-Q4,121.5
2025-Q1,115.6
2025-Q2,119.7
