Date,Value
1995-Q1,52.4
1995-Q2,56.7
1995-Q3,55.2
1995-Q4,56.2
1996-Q1,52.9
1996-Q2,57.6
1996-Q3,57.2
1996-Q4,59.1
1997-Q1,55.2
1997-Q2,61.4
1997-Q3,60.3
1997-Q4,61.7
1998-Q1,57.8
1998-Q2,62.5
1998-Q3,61.8
1998-Q4,63.8
1999-Q1,60.4
1999-Q2,67.3
1999-Q3,64.3
1999-Q4,66.8
2000-Q1,64.0
2000-Q2,68.0
2000-Q3,67.1
2000-Q4,68.7
2001-Q1,65.9
2001-Q2,69.6
2001-Q3,68.9
2001-Q4,71.0
2002-Q1,67.7
2002-Q2,71.4
2002-Q3,71.3
2002-Q4,74.0
2003-Q1,69.6
2003-Q2,73.9
2003-Q3,74.0
2003-Q4,76.0
2004-Q1,72.4
2004-Q2,77.7
2004-Q3,77.5
2004-Q4,79.2
2005-Q1,74.4
2005-Q2,81.5
2005-Q3,80.6
2005-Q4,82.3
2006-Q1,78.7
2006-Q2,85.7
2006-Q3,85.7
2006-Q4,87.5
2007-Q1,85.1
2007-Q2,91.9
2007-Q3,92.3
2007-Q4,92.4
2008-Q1,89.8
2008-Q2,97.5
2008-Q3,95.3
2008-Q4,91.2
2009-Q1,83.5
2009-Q2,88.1
2009-Q3,87.2
2009-Q4,86.6
2010-Q1,82.5
2010-Q2,89.5
2010-Q3,88.8
2010-Q4,88.6
2011-Q1,85.2
2011-Q2,89.4
2011-Q3,88.9
2011-Q4,88.1
2012-Q1,84.4
2012-Q2,86.2
2012-Q3,86.4
2012-Q4,84.3
2013-Q1,80.8
2013-Q2,85.6
2013-Q3,85.6
2013-Q4,86.6
2014-Q1,82.7
2014-Q2,88.3
2014-Q3,88.6
2014-Q4,88.3
2015-Q1,84.5
2015-Q2,90.2
2015-Q3,90.7
2015-Q4,90.8
2016-Q1,86.7
2016-Q2,93.4
2016-Q3,93.3
2016-Q4,93.7
2017-Q1,91.2
2017-Q2,97.3
2017-Q3,97.6
2017-Q4,99.9
2018-Q1,94.9
2018-Q2,101.2
2018-Q3,102.5
2018-Q4,104.3
2019-Q1,99.2
2019-Q2,104.4
2019-Q3,105.9
2019-Q4,107.5
2020-Q1,98.1
2020-Q2,92.9
2020-Q3,104.5
2020-Q4,104.5
2021-Q1,100.1
2021-Q2,107.5
2021-Q3,110.6
2021-Q4,115.4
2022-Q1,105.4
2022-Q2,112.5
2022-Q3,111.9
2022-Q4,115.5
2023-Q1,107.1
2023-Q2,115.0
2023-Q3,114.0
2023-Q4,118.6
2024-Q1,109.7
2024-Q2,116.0
2024-Q3,115.9
2024-Q4,120.4
2025-Q1,109.0
2025-Q2,116.8
