Date,Value
1995-Q1,41.7
1995-Q2,44.6
1995-Q3,42.8
1995-Q4,42.5
1996-Q1,43.9
1996-Q2,46.0
1996-Q3,46.9
1996-Q4,45.2
1997-Q1,46.4
1997-Q2,49.3
1997-Q3,50.4
1997-Q4,45.9
1998-Q1,48.2
1998-Q2,50.9
1998-Q3,49.7
1998-Q4,50.6
1999-Q1,48.7
1999-Q2,51.6
1999-Q3,50.4
1999-Q4,47.8
2000-Q1,47.1
2000-Q2,51.8
2000-Q3,51.0
2000-Q4,50.1
2001-Q1,47.7
2001-Q2,52.5
2001-Q3,52.1
2001-Q4,53.6
2002-Q1,49.4
2002-Q2,53.7
2002-Q3,56.2
2002-Q4,55.6
2003-Q1,52.2
2003-Q2,56.7
2003-Q3,58.2
2003-Q4,58.3
2004-Q1,54.6
2004-Q2,58.4
2004-Q3,62.8
2004-Q4,61.7
2005-Q1,57.2
2005-Q2,63.5
2005-Q3,67.2
2005-Q4,65.1
2006-Q1,61.7
2006-Q2,69.1
2006-Q3,72.9
2006-Q4,71.7
2007-Q1,67.5
2007-Q2,75.3
2007-Q3,80.9
2007-Q4,81.5
2008-Q1,73.6
2008-Q2,80.1
2008-Q3,85.7
2008-Q4,82.3
2009-Q1,69.3
2009-Q2,75.2
2009-Q3,80.6
2009-Q4,78.8
2010-Q1,74.6
2010-Q2,80.5
2010-Q3,85.9
2010-Q4,83.7
2011-Q1,76.4
2011-Q2,82.8
2011-Q3,87.6
2011-Q4,86.1
2012-Q1,78.3
2012-Q2,84.4
2012-Q3,89.1
2012-Q4,86.4
2013-Q1,78.5
2013-Q2,84.8
2013-Q3,89.7
2013-Q4,87.5
2014-Q1,80.6
2014-Q2,87.1
2014-Q3,92.1
2014-Q4,90.0
2015-Q1,84.3
2015-Q2,91.4
2015-Q3,96.9
2015-Q4,95.3
2016-Q1,86.5
2016-Q2,93.7
2016-Q3,98.0
2016-Q4,96.9
2017-Q1,88.1
2017-Q2,96.6
2017-Q3,100.8
2017-Q4,100.3
2018-Q1,91.5
2018-Q2,100.8
2018-Q3,105.4
2018-Q4,103.7
2019-Q1,94.9
2019-Q2,103.1
2019-Q3,106.9
2019-Q4,105.7
2020-Q1,93.6
2020-Q2,94.0
2020-Q3,106.7
2020-Q4,105.8
2021-Q1,96.0
2021-Q2,105.9
2021-Q3,110.9
2021-Q4,110.0
2022-Q1,97.7
2022-Q2,106.0
2022-Q3,111.1
2022-Q4,109.9
2023-Q1,98.5
2023-Q2,108.6
2023-Q3,114.1
2023-Q4,112.7
2024-Q1,101.7
2024-Q2,110.8
2024-Q3,115.6
2024-Q4,114.6
2025-Q1,102.6
2025-Q2,111.5
